kernel_id,run_name,mode,kname,status,t_arrival,t_scheduled,t_configured,t_completed
74,parallel,Tiled,matmul,COMPLETED,381664920403,381671677614,381671679935,381679088577
75,parallel,Tiled,saxpy,COMPLETED,381664920430,381678890314,381678892649,381678896166
76,parallel,Tiled,saxpy,COMPLETED,381664920456,381678893518,381678895880,381678898831
77,parallel,Tiled,2mm,COMPLETED,381664920490,381686333300,381686337949,381693200350
78,parallel,Tiled,2mm,COMPLETED,381664920543,381686464909,381686469634,381693323613
79,parallel,Tiled,saxpy,COMPLETED,381664920581,381678896191,381678898554,381678901488
80,parallel,Tiled,saxpy,COMPLETED,381664920628,381678898912,381678901232,381678908719
81,parallel,Tiled,matmul,COMPLETED,381664920681,381678906140,381678908460,381686338742
82,parallel,Tiled,saxpy,COMPLETED,381664920719,381678908735,381678911082,381678914905
83,parallel,Tiled,2mm,COMPLETED,381664920775,381693132516,381693137241,381699978417
84,parallel,Tiled,saxpy,COMPLETED,381664920794,381678912254,381678914597,381678917493
85,parallel,Tiled,saxpy,COMPLETED,381664920826,381678914931,381678917239,381678920131
86,parallel,Tiled,saxpy,COMPLETED,381664920886,381678917510,381678919835,381678922675
87,parallel,Tiled,saxpy,COMPLETED,381664920932,381678920148,381678922431,381678925337
88,parallel,Tiled,saxpy,COMPLETED,381664921012,381678922690,381678925028,381678927952
89,parallel,Tiled,2mm,COMPLETED,381664921092,381693166680,381693171365,381700012394
90,parallel,Tiled,matmul,COMPLETED,381664921123,381678925389,381678927676,381686359584
91,parallel,Tiled,saxpy,COMPLETED,381664921161,381678927988,381678930283,381678932315
92,parallel,Tiled,saxpy,COMPLETED,381664921257,381678932458,381678934785,381678936786
93,parallel,Tiled,matmul,COMPLETED,381664921295,381678936811,381678939110,381686371035
94,parallel,Tiled,saxpy,COMPLETED,381664921320,381678982934,381678985243,381678988110
95,parallel,Tiled,saxpy,COMPLETED,381664921361,381678985508,381678987812,381678990757
96,parallel,Tiled,saxpy,COMPLETED,381664921388,381678988143,381678990465,381678993438
97,parallel,Tiled,2mm,COMPLETED,381664921410,381693200376,381693205036,381700046294
98,parallel,Tiled,saxpy,COMPLETED,381664921439,381678990779,381678993136,381678996117
99,parallel,Tiled,2mm,COMPLETED,381664921472,381693323718,381693328355,381700167139
100,parallel,Tiled,saxpy,COMPLETED,381664921504,381678993479,381678995813,381678998798
101,parallel,Tiled,saxpy,COMPLETED,381664921550,381678996144,381678998531,381679001492
102,parallel,Tiled,saxpy,COMPLETED,381665097218,381678998837,381679001210,381679004111
103,parallel,Tiled,2mm,COMPLETED,381665097261,381699978458,381699983118,381706844279
104,parallel,Tiled,saxpy,COMPLETED,381665097320,381679001547,381679003841,381679006769
105,parallel,Tiled,saxpy,COMPLETED,381665097365,381679004128,381679006483,381679009393
106,parallel,Tiled,2mm,COMPLETED,381665097431,381700012443,381700017060,381706878210
107,parallel,Tiled,saxpy,COMPLETED,381665097479,381679006788,381679009077,381679012044
108,parallel,Tiled,saxpy,COMPLETED,381665097527,381679009414,381679011772,381679014739
109,parallel,Tiled,matmul,COMPLETED,381665097576,381679012134,381679014468,381686449777
110,parallel,Tiled,saxpy,COMPLETED,381665097632,381679014765,381679017157,381679021622
111,parallel,Tiled,matmul,COMPLETED,381665097670,381679019043,381679021373,381686456840
112,parallel,Tiled,2mm,COMPLETED,381665097725,381700046325,381700050908,381706912137
113,parallel,Tiled,saxpy,COMPLETED,381665097791,381679021681,381679023953,381679025889
114,parallel,Tiled,2mm,COMPLETED,381665097834,381700167239,381700171807,381707035311
115,parallel,Tiled,matmul,COMPLETED,381665097888,381679025930,381679028256,381686464870
116,parallel,Tiled,matmul,COMPLETED,381665097943,381679039924,381679042256,381686475459
117,parallel,Tiled,saxpy,COMPLETED,381665097990,381679062254,381679064500,381679066390
118,parallel,Tiled,saxpy,COMPLETED,381665098051,381679066422,381679068744,381679070650
119,parallel,Tiled,matmul,COMPLETED,381665098109,381679070692,381679073068,381686504344
120,parallel,Tiled,2mm,COMPLETED,381665098144,381706844336,381706848992,381713709512
121,parallel,Tiled,saxpy,COMPLETED,381665098214,381679077330,381679079658,381679081488
122,parallel,Tiled,saxpy,COMPLETED,381665098254,381679081504,381679083828,381679085765
123,parallel,Tiled,matmul,COMPLETED,381665098284,381679085783,381679088099,381686518260
124,parallel,Tiled,saxpy,COMPLETED,381665098328,381679088603,381679090887,381679092869
125,parallel,Tiled,2mm,COMPLETED,381665098355,381706878254,381706882889,381713743441
126,parallel,Tiled,matmul,COMPLETED,381665098414,381679092889,381679095190,381686524957
127,parallel,Tiled,saxpy,COMPLETED,381665098461,381686338780,381686341121,381686343147
128,parallel,Tiled,saxpy,COMPLETED,381665098543,381686343161,381686345446,381686347547
129,parallel,Tiled,matmul,COMPLETED,381665098584,381686347571,381686349910,381693214081
130,parallel,Tiled,saxpy,COMPLETED,381665098631,381686359608,381686361905,381686363932
131,parallel,Tiled,2mm,COMPLETED,381665098715,381706912180,381706916813,381713777218
132,parallel,Tiled,saxpy,COMPLETED,381665098760,381686363965,381686366295,381686368195
133,parallel,Tiled,matmul,COMPLETED,381665098811,381686368214,381686370498,381693233429
134,parallel,Tiled,matmul,COMPLETED,381665098866,381686371128,381686373464,381693236120
135,parallel,Tiled,saxpy,COMPLETED,381665098911,381686449804,381686452208,381686454211
136,parallel,Tiled,saxpy,COMPLETED,381665098948,381686454224,381686456583,381686459525
137,parallel,Tiled,saxpy,COMPLETED,381665098984,381686456902,381686459301,381686462163
138,parallel,Tiled,2mm,COMPLETED,381665099056,381707035343,381707039968,381713900514
139,parallel,Tiled,saxpy,COMPLETED,381665099125,381686459564,381686461902,381686464881
140,parallel,Tiled,2mm,COMPLETED,381665099175,381713709566,381713714244,381720570205
141,parallel,Tiled,saxpy,COMPLETED,381665099217,381686462247,381686464606,381686469909
142,parallel,Tiled,matmul,COMPLETED,381665099282,381686469935,381686472259,381693328922
143,parallel,Tiled,matmul,COMPLETED,381665099326,381686475487,381686477822,381693335758
144,parallel,Tiled,2mm,COMPLETED,381665099394,381713743477,381713748091,381720603872
145,parallel,Tiled,saxpy,COMPLETED,381665099466,381686504385,381686506810,381686508526
146,parallel,Tiled,2mm,COMPLETED,381665099507,381713777254,381713781947,381720637645
147,parallel,Tiled,2mm,COMPLETED,381665099623,381713900544,381713905161,381720760406
148,parallel,Tiled,matmul,COMPLETED,381665099668,381686508572,381686510877,381693366518
149,parallel,Tiled,saxpy,COMPLETED,381665099748,381686518342,381686520666,381686522375
150,parallel,Tiled,matmul,COMPLETED,381665099818,381686522392,381686524714,381693381470
151,parallel,Tiled,2mm,COMPLETED,381665099863,381720570244,381720574915,381727422094
152,parallel,Tiled,matmul,COMPLETED,381665099902,381686525025,381686527387,381693384018
153,parallel,Tiled,matmul,COMPLETED,381665099950,381693214135,381693216475,381700060097
154,parallel,Tiled,saxpy,COMPLETED,381665099998,381693233515,381693235865,381693238640
155,parallel,Tiled,matmul,COMPLETED,381665100048,381693236146,381693238399,381700082021
